tanggal,jenis_kejadian_bencana,kelurahan,kecamatan,wilayah,taksiran_kerugian,keterangan_jkb
8/1/2020,Penyelamatan,Kebon Bawang,Tanjung Priok,Jakarta Utara,0,Pengendalian Hewan
8/1/2020,Kebakaran,Pulo Gebang,Cakung,Jakarta Timur,"200,000,000",Bencana Kebakaran
8/1/2020,Bantuan Operasi,Baru,Pasar Rebo,Jakarta Timur,0,Kerja Bakti
8/1/2020,Bantuan Operasi,Malaka Jaya,Duren Sawit,Jakarta Timur,0,Kerja Bakti
8/1/2020,Bantuan Operasi,Malaka Jaya,Duren Sawit,Jakarta Timur,0,Kerja Bakti
8/1/2020,Bantuan Operasi,Cipinang,Pulogadung,Jakarta Timur,0,Kerja Bakti
8/1/2020,Bantuan Operasi,Cipinang,Pulogadung,Jakarta Timur,0,Kerja Bakti
8/1/2020,Penyelamatan,Gandaria Selatan,Cilandak,Jakarta Selatan,0,Pengendalian Hewan
8/1/2020,Penyelamatan,Kota Bambu Selatan,Palmerah,Jakarta Barat,0,Evakuasi Banjir / Penyelamatan Air 
8/1/2020,Kebakaran,Kedaung Kali Angke,Cengkareng,Jakarta Barat,"850,000,000",Bencana Kebakaran
8/1/2020,Penyelamatan,Cilandak Timur,Pasar Minggu,Jakarta Selatan,0,Pengendalian Hewan
8/1/2020,Bantuan Operasi,Jatipadang,Pasar Minggu,Jakarta Selatan,0,Kerja Bakti
8/1/2020,Penyelamatan,Duri Kepa,Kebun Jeruk,Jakarta Barat,0,Penyelamatan Transportasi
8/1/2020,Penyelamatan,Kedaung Kali Angke,Cengkareng,Jakarta Barat,0,Pengendalian Hewan
8/1/2020,Bantuan Operasi,Cempaka Putih Barat,Cempaka Putih,Jakarta Pusat,0,Kerja Bakti
8/1/2020,Bantuan Operasi,Galur,Johar Baru,Jakarta Pusat,0,Kerja Bakti
8/1/2020,Bantuan Operasi,Gelora,Tanah Abang,Jakarta Pusat,0,Bantuan Operasi Lainnya
8/2/2020,Bantuan Operasi,Bendungan Hilir,Tanah Abang,Jakarta Pusat,0,Bantuan Operasi Lainnya
8/1/2020,Kebakaran,Pondok Bambu,Duren Sawit,Jakarta Timur,0,Bencana Kebakaran
8/2/2020,Penyelamatan,Penggilingan,Cakung,Jakarta Timur,0,Pengendalian Hewan
8/2/2020,Kebakaran,Ciracas,Ciracas,Jakarta Timur,0,Bencana Kebakaran
8/2/2020,Kebakaran,Tanjung Priok,Tanjung Priok,Jakarta Utara,"10,000,000",Bencana Kebakaran
8/2/2020,Kebakaran,Jatipadang,Pasar Minggu,Jakarta Selatan,"500,000",Bencana Kebakaran
8/2/2020,Kebakaran,Meruya Utara,Kembangan,Jakarta Barat,0,Bencana Kebakaran
8/2/2020,Penyelamatan,Grogol,Grogol Petamburan,Jakarta Barat,0,Pengendalian Hewan
8/2/2020,Penyelamatan,Lubang Buaya,Cipayung,Jakarta Timur,0,Pengendalian Hewan
8/2/2020,Kebakaran,Tanjung Duren Selatan,Grogol Petamburan,Jakarta Barat,"100,000,000",Bencana Kebakaran
8/2/2020,Penyelamatan,Cilangkap,Cipayung,Jakarta Timur,0,Penyelamatan Transportasi
8/2/2020,Bantuan Operasi,Pisangan Timur,Pulogadung,Jakarta Timur,0,Kerja Bakti
8/3/2020,Penyelamatan,Bambu Apus,Cipayung,Jakarta Timur,0,Pengendalian Hewan
8/2/2020,Kebakaran,Kelapa Gading Barat,Kelapa Gading,Jakarta Utara,"5,000,000",Bencana Kebakaran
8/2/2020,Kebakaran,Lenteng Agung,Jagakarsa,Jakarta Selatan,0,Bencana Kebakaran
8/2/2020,Penyelamatan,Tebet barat,Tebet,Jakarta Selatan,0,Operasi Penyelamatan Lainnya
8/2/2020,Penyelamatan,Jagakarsa,Jagakarsa,Jakarta Selatan,0,Operasi Penyelamatan Lainnya
8/3/2020,Kebakaran,Duren sawit,Duren Sawit,Jakarta Timur,0,Bencana Kebakaran
8/3/2020,Bantuan Operasi,Lagoa,Koja,Jakarta Utara,0,Kerja Bakti
8/3/2020,Penyelamatan,Jagakarsa,Jagakarsa,Jakarta Selatan,0,Penyelamatan Transportasi
8/3/2020,Penyelamatan,Pegangsaan,Menteng,Jakarta Pusat,0,Pengendalian Hewan
8/3/2020,Bantuan Operasi,Kebon Kacang,Tanah Abang,Jakarta Pusat,0,Kerja Bakti
8/3/2020,Penyelamatan,Cempaka Putih Barat,Cempaka Putih,Jakarta Pusat,0,Pohon Tumbang
8/3/2020,Kebakaran,Cakung Barat,Cakung,Jakarta Timur,"50,000,000",Bencana Kebakaran
8/4/2020,Bantuan Operasi,Tebet Barat,Tebet,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/4/2020,Bantuan Operasi,Tebet Timur,Tebet,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/4/2020,Bantuan Operasi,Jagakarsa,Jagakarsa,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/4/2020,Bantuan Operasi,Petukangan Utara,Pesanggrahan,Jakarta Selatan,0,Kesiagaan/Penjagaan
8/4/2020,Bantuan Operasi,Pesanggrahan,Pesanggrahan,Jakarta Selatan,0,Kesiagaan/Penjagaan
