ward,Occurances,location,point,latitude,longitude,altitude
JAGAKARSA,126,"Jagakarsa, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Indonesia","(-6.3247665, 106.8194219, 0.0)",-6.3247665,106.8194219,0
PONDOK PINANG,119,"Pondok Pinang, Kebayoran Lama, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, 12310, Indonesia","(-6.2736372, 106.7789504, 0.0)",-6.2736372,106.7789504,0
JATI PADANG,104,"Pemakaman Jatipadang, Jati Padang, Pasar Minggu, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Indonesia","(-6.29032665, 106.82897725712799, 0.0)",-6.29032665,106.8289773,0
PENJARINGAN,99,"Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Indonesia","(-6.11726515, 106.76743343432852, 0.0)",-6.11726515,106.7674334,0
LEBAK BULUS,99,"Lebak Bulus, Cilandak, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Indonesia","(-6.3016717, 106.779691, 0.0)",-6.3016717,106.779691,0
PONDOK KELAPA,96,"Pondok Kelapa, Duren Sawit, Jakarta Timur, Daerah Khusus Ibukota Jakarta, Indonesia","(-6.2422972, 106.9333134, 0.0)",-6.2422972,106.9333134,0
PEJATEN TIMUR,93,"Pejaten Timur, Pasar Minggu, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Indonesia","(-6.2808809, 106.8469064, 0.0)",-6.2808809,106.8469064,0
GELORA,92,"Gelora, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, 10270, Indonesia","(-6.2149918, 106.8005721, 0.0)",-6.2149918,106.8005721,0
SEMPER BARAT,84,"Semper Barat, Cilincing, Jakarta Utara, Daerah Khusus Ibukota Jakarta, 14130, Indonesia","(-6.1238539, 106.9243509, 0.0)",-6.1238539,106.9243509,0
BENDUNGAN HILIR,82,"Bendungan Hilir, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, 10210, Indonesia","(-6.2087254, 106.8086398, 0.0)",-6.2087254,106.8086398,0
DURI KEPA,80,"Duri Kepa, Kebon Jeruk, Jakarta Barat, Daerah Khusus Ibukota Jakarta, 11510, Indonesia","(-6.175123, 106.7743079, 0.0)",-6.175123,106.7743079,0
SRENGSENG SAWAH,79,"Srengseng Sawah, Jagakarsa, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, 12640, Indonesia","(-6.348031349999999, 106.82584043988348, 0.0)",-6.34803135,106.8258404,0
PLUIT,74,"Pluit, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta, 14440, Indonesia","(-6.1150307, 106.7873624, 0.0)",-6.1150307,106.7873624,0
BINTARO,74,"Bintaro, Pesanggrahan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Indonesia","(-6.2682262, 106.7648364, 0.0)",-6.2682262,106.7648364,0
CILANDAK TIMUR,72,"Cilandak Timur, Pasar Minggu, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, 12560, Indonesia","(-6.2894658, 106.8124767, 0.0)",-6.2894658,106.8124767,0
CILANDAK BARAT,72,"Cilandak Barat, Cilandak, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Indonesia","(-6.288078, 106.7968651, 0.0)",-6.288078,106.7968651,0
CENGKARENG BARAT,71,"Cengkareng Barat, Cengkareng, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia","(-6.1398647, 106.7238102, 0.0)",-6.1398647,106.7238102,0
KELAPA GADING BARAT,67,"Kelapa Gading Barat, Daerah Khusus Ibukota Jakarta, 14360, Indonesia","(-6.1556025, 106.8951708, 0.0)",-6.1556025,106.8951708,0
PASAR MINGGU,67,"Pasar Minggu, Jalan Pasar Minggu Raya, RW 07, Pejaten Timur, Pasar Minggu, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, 12740, Indonesia","(-6.2826745, 106.8449405, 0.0)",-6.2826745,106.8449405,0
PETUKANGAN UTARA,66,"Petukangan Utara, Pesanggrahan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, 12260, Indonesia","(-6.2296276, 106.7510906, 0.0)",-6.2296276,106.7510906,0
KEBAGUSAN,65,"Kebagusan, Pasar Minggu, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, 12520, Indonesia","(-6.3103102, 106.8312171, 0.0)",-6.3103102,106.8312171,0
PEJAGALAN,65,"Pejagalan, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta, 14450, Indonesia","(-6.1335221, 106.78496332786017, 0.0)",-6.1335221,106.7849633,0
KAYU PUTIH,65,"Kayu Putih, Pulo Gadung, Jakarta Timur, Daerah Khusus Ibukota Jakarta, 13210, Indonesia","(-6.17816245, 106.88431799197784, 0.0)",-6.17816245,106.884318,0
DUREN SAWIT,64,"Duren Sawit, Jakarta Timur, Daerah Khusus Ibukota Jakarta, Indonesia","(-6.2341378, 106.91924723513691, 0.0)",-6.2341378,106.9192472,0
BANGKA,63,"Pulau Bangka, Kepulauan Bangka Belitung, Indonesia","(-2.30812445, 106.02815209819913, 0.0)",-2.30812445,106.0281521,0
KELAPA GADING TIMUR,62,"Kelapa Gading Timur, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta, 14240, Indonesia","(-6.1682935, 106.9042145, 0.0)",-6.1682935,106.9042145,0
KEMBANGAN SELATAN,62,"Kembangan Selatan, Kembangan, Jakarta Barat, Daerah Khusus Ibukota Jakarta, 11610, Indonesia","(-6.1885306, 106.739284, 0.0)",-6.1885306,106.739284,0
PESANGGRAHAN,61,"Pesanggrahan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, 12320, Indonesia","(-6.2557097, 106.7600011, 0.0)",-6.2557097,106.7600011,0
CIPETE SELATAN,60,"Cipete Selatan, Cilandak, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, 12410, Indonesia","(-6.2717196, 106.8049209, 0.0)",-6.2717196,106.8049209,0
RAWA BUAYA,59,"Rawa Buaya, Cengkareng, Jakarta Barat, Daerah Khusus Ibukota Jakarta, 11740, Indonesia","(-6.1616396, 106.7375147, 0.0)",-6.1616396,106.7375147,0
CIRACAS,59,"Ciracas, Jakarta Timur, Daerah Khusus Ibukota Jakarta, Indonesia","(-6.3296346, 106.87660392506864, 0.0)",-6.3296346,106.8766039,0
PEGANGSAAN DUA,59,"Pegangsaan Dua, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta, 14250, Indonesia","(-6.1626344, 106.9158465, 0.0)",-6.1626344,106.9158465,0
SUNTER AGUNG,59,"Sunter Agung, Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta, 14350, Indonesia","(-6.138604, 106.8643448, 0.0)",-6.138604,106.8643448,0
PENGGILINGAN,58,"Penggilingan, Cakung, Jakarta Timur, Daerah Khusus Ibukota Jakarta, 13940, Indonesia","(-6.2050399, 106.9359199, 0.0)",-6.2050399,106.9359199,0
GAMBIR,58,"Gambir, Jalan Medan Merdeka Timur, RW 02, Gambir, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, 10110, Indonesia","(-6.1766841, 106.8306534, 0.0)",-6.1766841,106.8306534,0
KEBON MANGGIS,57,"Kebon Manggis, Matraman, Jakarta Timur, Daerah Khusus Ibukota Jakarta, Indonesia","(-6.2074976, 106.8567616, 0.0)",-6.2074976,106.8567616,0
RAWAJATI,56,"Rawajati, Pancoran, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, 12750, Indonesia","(-6.2580249, 106.854993, 0.0)",-6.2580249,106.854993,0
KALIDERES,56,"Kalideres, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia","(-6.13700575, 106.70159379305983, 0.0)",-6.13700575,106.7015938,0
PULO GEBANG,63,"Pulo Gebang, Cakung, Jakarta Timur, Daerah Khusus Ibukota Jakarta, Indonesia","(-6.2051221, 106.9522403, 0.0)",-6.2051221,106.9522403,0
TEBET BARAT,56,"Tebet Barat, Tebet, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, 12810, Indonesia","(-6.2339315, 106.8489052, 0.0)",-6.2339315,106.8489052,0
PEGADUNGAN,55,"Pegadungan, Kalideres, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia","(-6.1339168, 106.7019941, 0.0)",-6.1339168,106.7019941,0
JELAMBAR,54,"Jelambar, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia","(-6.1593443, 106.7861493, 0.0)",-6.1593443,106.7861493,0
KEBON JERUK,53,"Kebon Jeruk, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia","(-6.19257205, 106.76972548969255, 0.0)",-6.19257205,106.7697255,0
