har,ward,Occurances,latitude_y,longitude_y,Prob
0,JAGAKARSA,126,-6.3247665,106.8194219,0.014390132
1,PONDOK PINANG,119,-6.2736372,106.7789504,0.013590681
2,JATI PADANG,104,-6.2872405,106.8305449,0.01187757
3,PENJARINGAN,99,-6.1289041,106.7992012,0.011306533
4,LEBAK BULUS,99,-6.3016717,106.779691,0.011306533
5,PONDOK KELAPA,96,-6.2422972,106.9333134,0.01096391
6,PEJATEN TIMUR,93,-6.2808809,106.8469064,0.010621288
7,GELORA,92,-6.2149918,106.8005721,0.010507081
8,SEMPER BARAT,84,-6.1238539,106.9243509,0.009593422
9,BENDUNGAN HILIR,82,-6.2087254,106.8086398,0.009365007
10,DURI KEPA,80,-6.175123,106.7743079,0.009136592
11,SRENGSENG SAWAH,79,-6.3449388,106.8262052,0.009022385
12,PLUIT,74,-6.1150307,106.7873624,0.008451348
13,BINTARO,74,-6.2682262,106.7648364,0.008451348
14,CILANDAK TIMUR,72,-6.2894658,106.8124767,0.008222933
15,CILANDAK BARAT,72,-6.288078,106.7968651,0.008222933
16,CENGKARENG BARAT,71,-6.1398647,106.7238102,0.008108725
17,KELAPA GADING BARAT,67,-6.1556025,106.8951708,0.007651896
18,PASAR MINGGU,67,-6.2893924,106.8390511,0.007651896
19,PETUKANGAN UTARA,66,-6.2296276,106.7510906,0.007537688
20,KEBAGUSAN,65,-6.3103102,106.8312171,0.007423481
21,PENJAGALAN,65,-6.1335,106.7843,0.007423481
22,KAYU PUTIH,65,-6.1790057,106.8836752,0.007423481
23,DUREN SAWIT,64,-6.235992,106.9166626,0.007309274
24,BANGKA,63,-6.2630889,106.8184883,0.007195066
25,KELAPA GADING TIMUR,62,-6.1682935,106.9042145,0.007080859
26,KEMBANGAN SELATAN,62,-6.1885306,106.739284,0.007080859
27,PESANGGRAHAN,61,-6.2557097,106.7600011,0.006966651
28,CIPETE SELATAN,60,-6.2717196,106.8049209,0.006852444
29,RAWA BUAYA,59,-6.1616396,106.7375147,0.006738237
30,CIRACAS,59,-6.3261105,106.8751366,0.006738237
31,PEGANGSAAN DUA,59,-6.1626344,106.9158465,0.006738237
32,SUNTER AGUNG,59,-6.138604,106.8643448,0.006738237
